iter	Passed	Remaining
0	1	138
1	2	132
2	3	121
3	4	110
4	5	113
5	7	113
6	8	113
7	9	110
8	10	106
9	11	103
10	12	101
11	13	99
12	14	97
13	15	96
14	16	96
15	18	94
16	19	94
17	20	93
18	21	93
19	22	91
20	23	89
21	24	88
22	26	87
23	27	87
24	28	86
25	30	85
26	31	85
27	33	84
28	34	83
29	35	82
30	36	81
31	38	81
32	39	80
33	40	79
34	42	78
35	43	78
36	45	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	69
42	51	68
43	53	67
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	59
51	63	58
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	75	48
61	77	47
62	78	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	88	37
70	89	36
71	90	35
72	93	34
73	94	33
74	95	31
75	97	30
76	99	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	21
83	108	20
84	109	19
85	111	18
86	112	16
87	115	15
88	116	14
89	117	13
90	119	11
91	120	10
92	121	9
93	122	7
94	124	6
95	126	5
96	127	3
97	128	2
98	130	1
99	131	0
